country_code,wave,luck,norm,gini,n
8,3,2.9044193216855088,0.5105863530149806,36.1,973
12,6,4.1288014311270125,0.4214605606478519,,1118
20,5,5.7151454363089265,-0.06902219847069188,30.0,997
20,7,4.575848303393213,-0.26908732303636107,,1002
31,3,4.339371337240277,0.33128559407804503,31.6,1877
31,6,6.465069860279441,-0.3829027363004128,,1002
32,3,5.050991501416431,-0.20478008692773825,44.3,1059
32,5,4.971816283924843,-0.08221462927985909,43.5,958
32,6,4.217659137577002,-0.031747969392814206,38.6,974
32,7,4.691675231243576,0.1502047911499007,37.9,973
36,3,4.044269552385637,-0.27535515518203,30.9,2033
36,5,4.311953352769679,-0.24618362594424525,32.1,1372
36,6,3.656293222683264,-0.3021246397009625,32.5,1446
36,7,4.240314430095452,-0.26704455896301205,32.7,1781
50,3,2.3669112741827885,-0.4789008800229217,32.6,1499
50,7,3.348333333333333,-0.21760423359538847,33.7,1200
51,3,5.1189495365602475,0.30223475032093966,39.7,1942
51,6,3.8913649025069637,-0.22039886998593827,35.0,1077
51,7,4.075907590759076,-0.3377149759279688,34.0,1212
68,7,4.380975850172499,0.1633211851447003,41.5,2029
70,3,3.959731543624161,-0.18461841164027581,,1192
76,3,6.826584507042254,0.6208518297107121,56.1,1136
76,5,4.7254901960784315,0.18790499172946556,49.3,1479
76,6,4.222755311857437,-0.12433359123563305,44.6,1459
76,7,4.649112426035503,-0.04031305107649843,47.4,1690
100,3,4.5822660098522165,-0.16041532125801888,32.2,1015
100,5,4.747942386831276,-0.07653223534684268,33.2,972
104,7,3.84,-0.06002455996671974,,1200
112,3,4.467101958814666,0.24747089247524826,24.1,1991
112,6,4.4918354016982365,0.10568104730782393,25.400000000000002,1531
124,5,4.010838831291235,-0.2528501708413589,31.800000000000004,2122
124,7,4.909407665505227,0.08347760193881942,28.7,4018
152,3,4.936683417085427,0.015873067330938143,50.7,995
152,5,5.171282051282051,0.10421263341202265,48.0,975
152,6,4.830421377183967,-0.08526641105414315,46.4,973
152,7,4.7005181347150256,0.25954467944462595,46.2,965
156,3,3.499654457498272,-0.2993978195199951,36.2,1447
156,5,3.638390092879257,-0.005263174282593197,43.1,1615
156,6,3.6973326075122483,0.08121547150885827,41.2,1837
156,7,3.723418350447168,-0.15111955514197775,41.3,3019
158,3,4.464751958224543,-0.16584708121127487,29.0,766
158,5,3.94189852700491,-0.14972751153813524,30.5,1222
158,6,3.9289940828402368,-0.07374593703543536,30.5,1183
158,7,4.286181520850368,-0.13862926787992863,30.5,1223
170,5,4.8735861610113105,-0.3077049604982978,51.3,3006
170,6,4.805090421969189,-0.14312533194692292,49.2,1493
170,7,4.8822368421052635,0.03308865401777875,46.7,1520
191,3,4.338111298482294,0.302073182940586,28.2,1186
196,5,4.704697986577181,-0.14729628659111382,28.9,1043
196,6,5.244959677419355,-0.2827731245547863,29.9,992
196,7,5.460446247464503,-0.23370357973327574,29.6,986
203,3,5.11121157323689,0.1774941651140882,24.7,1106
203,7,5.5058823529411764,0.41712143654844375,25.0,1190
214,3,3.4382566585956416,-0.12072972104162714,46.5,413
218,6,3.6416666666666666,-0.033658640115410844,43.1,1200
218,7,3.895885810243493,0.22592528800301936,42.0,1191
222,3,4.53059513830679,-0.14581455686974928,47.9,1193
