country_code,wave_first,wave_last,gini_first,gini_last,norm_first,norm_last,delta_gini,delta_norm,riser
32,3,7,44.3,37.9,-0.2047800869277381,0.1502047911499006,-6.399999999999999,0.3549848780776387,0
36,3,7,30.9,32.7,-0.2753551551820298,-0.267044558963012,1.8000000000000043,0.008310596219017807,1
50,3,7,32.6,33.7,-0.4789008800229215,-0.2176042335953884,1.1000000000000014,0.26129664642753314,1
51,3,7,39.7,34.0,0.3022347503209397,-0.3377149759279687,-5.700000000000003,-0.6399497262489084,0
76,3,7,56.1,47.4,0.620851829710712,-0.0403130510764983,-8.700000000000003,-0.6611648807872103,0
100,3,5,32.2,33.2,-0.1604153212580187,-0.0765322353468426,1.0,0.08388308591117609,1
112,3,6,24.1,25.4,0.2474708924752482,0.1056810473078239,1.2999999999999972,-0.1417898451674243,1
124,5,7,31.800000000000004,28.7,-0.2528501708413588,0.0834776019388194,-3.100000000000005,0.3363277727801782,0
152,3,7,50.7,46.2,0.0158730673309381,0.2595446794446259,-4.5,0.2436716121136878,0
156,3,7,36.2,41.3,-0.299397819519995,-0.1511195551419777,5.099999999999994,0.1482782643780173,1
158,3,7,29.0,30.5,-0.1658470812112747,-0.1386292678799286,1.5,0.027217813331346097,1
170,5,7,51.3,46.7,-0.3077049604982976,0.0330886540177787,-4.599999999999994,0.3407936145160763,0
196,5,7,28.9,29.6,-0.1472962865911137,-0.2337035797332756,0.7000000000000028,-0.08640729314216189,1
203,3,7,24.7,25.0,0.1774941651140882,0.4171214365484437,0.3000000000000007,0.2396272714343555,1
218,6,7,43.1,42.0,-0.0336586401154108,0.2259252880030193,-1.1000000000000014,0.2595839281184301,0
231,5,7,32.5,33.1,-0.3088254522399099,-0.3024443081328008,0.6000000000000014,0.006381144107109105,1
233,3,6,33.1,32.2,0.0183756852211019,-0.0975654139395202,-0.8999999999999986,-0.1159410991606221,0
246,3,5,22.9,25.4,-0.1419070052877511,-0.1702698607821001,2.5,-0.028362855494349,1
268,3,6,36.9,39.8,0.0492884175583532,-0.3762286273866069,2.8999999999999986,-0.4255170449449601,1
276,3,7,25.2,30.0,0.0283813201697548,-0.3764472511142592,4.800000000000001,-0.404828571284014,1
288,5,6,43.1,43.6,-0.1470718789798041,-0.2364295113786999,0.5,-0.08935763239889583,1
344,6,7,40.2,40.1,0.3194879176402975,0.0617228093908219,-0.10000000000000142,-0.25776510824947557,0
348,3,5,28.0,26.8,0.3457632060015086,-0.1172178379899388,-1.1999999999999993,-0.4629810439914474,0
356,3,6,41.8,48.0,-0.2876964694180448,-0.183322056518869,6.200000000000003,0.10437441289917579,1
360,5,7,41.7,45.79999999999999,-0.2779083390115865,0.0404211447288962,4.099999999999987,0.3183294837404827,1
364,5,7,40.1,35.6,0.0489371048236523,-0.0226478227798239,-4.5,-0.0715849276034762,0
368,6,7,36.5,34.5,0.0151876868633096,0.3051128250120439,-2.0,0.2899251381487343,0
392,3,7,28.3,30.8,-0.2593785744292626,-0.3872719994204734,2.5,-0.1278934249912108,1
398,6,7,27.3,27.2,0.0908013738367538,0.2242332178593428,-0.10000000000000142,0.133431844022589,0
400,5,6,37.3,36.5,-0.2574546166046362,-0.2489594381724621,-0.7999999999999972,0.008495178432174094,0
410,3,7,32.6,34.2,-0.2298810576367174,0.1314594531239803,1.6000000000000014,0.36134051076069773,1
422,6,7,36.0,36.0,0.4356502193842287,0.2137494794005202,0.0,-0.22190073998370852,0
458,5,7,41.1,38.7,0.5804839303154689,0.6140955044556181,-2.3999999999999986,0.03361157414014926,0
484,3,7,49.4,42.6,0.2468757275277691,0.4332453734873085,-6.799999999999997,0.18636964595953942,0
498,3,5,36.9,37.4,0.3354312893000692,0.3226128298638408,0.5,-0.012818459436228391,1
504,5,6,41.0,40.9,-0.2553495201471971,-0.2943928198132132,-0.10000000000000142,-0.03904329966601611,0
528,5,7,27.2,27.0,-0.2436550909826781,-0.2897431799392409,-0.1999999999999993,-0.04608808895656283,0
554,3,7,32.9,31.2,-0.192396244884932,-0.262334920283187,-1.6999999999999993,-0.06993867539825499,0
566,3,7,43.4,38.9,-0.1739107195922807,-0.1799213209467686,-4.5,-0.0060106013544879155,0
578,3,5,24.5,24.7,-0.1904726631778397,-0.16358514089673,0.1999999999999993,0.026887522281109688,1
586,6,7,34.0,34.0,-0.1534733772433868,-0.0801593588953317,0.0,0.07331401834805511,0
604,3,7,52.3,44.3,-0.0253507613807125,-0.0381942577630231,-8.0,-0.0128434963823106,0
608,3,7,43.1,38.4,0.4653302625213396,0.998987660307569,-4.700000000000003,0.5336573977862294,0
616,3,6,29.8,31.4,-0.1423143760334513,-0.1061755135562985,1.5999999999999979,0.03613886247715278,1
630,3,7,49.4,51.1,-0.2251641419165103,-0.2526190192191715,1.7000000000000028,-0.027454877302661218,1
642,3,7,28.6,31.7,-0.1098958626419211,-0.1698630254966762,3.099999999999998,-0.059967162854755104,1
643,3,7,36.9,32.1,0.0185299500375919,0.3847235194041767,-4.799999999999997,0.3661935693665848,0
646,5,6,50.5,49.4,0.0370611319332461,-0.1480712583625711,-1.1000000000000014,-0.18513239029581718,0
688,5,7,34.6,32.0,1.112230712905055,0.540569765201451,-2.6000000000000014,-0.5716609477036041,0
702,6,7,38.7,36.6,0.2222209458829601,-0.2373648837588379,-2.1000000000000014,-0.459585829641798,0
704,5,7,37.6,35.4,-0.1725580405961547,0.4540368158712307,-2.200000000000003,0.6265948564673853,0
705,3,6,23.3,24.9,0.1449801414476992,-0.1987647348670538,1.5999999999999979,-0.343744876314753,1
710,3,6,61.6,62.8,-0.1045751495688227,0.9748468076834126,1.1999999999999957,1.0794219572522352,1
724,3,6,33.5,33.7,-0.2528514029525118,-0.2196703789822004,0.20000000000000284,0.03318102397031139,1
752,3,6,24.2,27.4,-0.0593717435949603,-0.0598786823617943,3.1999999999999993,-0.0005069387668339975,1
756,3,5,29.4,30.100000000000005,-0.0586777326807282,-0.2545070938360875,0.7000000000000064,-0.1958293611553593,1
764,5,7,42.3,37.8,0.3934763259411577,-0.1298115053322943,-4.5,-0.523287831273452,0
788,6,7,38.4,37.6,-0.2088827861847771,-0.1051038431969739,-0.7999999999999972,0.1037789429878032,0
792,5,7,39.6,40.0,-0.4029477890695109,-0.2180208946510901,0.3999999999999986,0.1849268944184208,1
804,3,7,31.9,27.1,0.2536104887736743,0.2549367070861664,-4.799999999999997,0.0013262183124920779,0
818,5,7,30.8,30.3,-0.2818302454582038,-0.3846556451305833,-0.5,-0.10282539967237952,0
826,5,7,33.3,32.2,-0.1214883423239986,-0.2444070960871747,-1.0999999999999943,-0.1229187537631761,0
840,3,7,36.7,38.6,-0.3632863286758895,-0.0531521107740529,1.8999999999999986,0.3101342179018366,1
858,3,7,38.8,38.2,-0.3109172297766772,-0.0856521019108885,-0.5999999999999943,0.22526512786578867,0
860,6,7,32.3,31.0,-0.0965120904505992,0.1928311436022088,-1.2999999999999972,0.289343234052808,0
862,3,7,42.8,36.1,-0.0642570708821806,0.164761514206481,-6.699999999999996,0.2290185850886616,0
